1.089890855408402493e-04,5.717780098009051366e-05,3.990848058699113325e-05,3.128218781568097939e-05,2.612508817760669048e-05,2.270818955441138921e-05,2.028245385009740654e-05,1.846827358767090332e-05,1.705323956672034075e-05,1.591046200496520441e-05
1.550757855864754731e-01,8.164591030594808840e-02,5.702325123945152507e-02,4.470743129054348397e-02,3.734082587772633716e-02,3.245876260513628347e-02,2.899237325831697729e-02,2.639966240755104235e-02,2.437725886591932123e-02,2.274389735187983680e-02
3.057748594932572783e-01,1.626826434485115214e-01,1.138393973300685924e-01,8.931132898023613764e-02,7.461753779750483762e-02,6.487218754086454542e-02,5.794975572277952930e-02,5.277065272189886136e-02,4.873001471173413202e-02,4.546621648486950940e-02
4.484344143820894191e-01,2.426324740550552805e-01,1.703235549231048307e-01,1.337713388517173807e-01,1.118184913518831536e-01,9.724045017726604123e-02,8.687777077663791370e-02,7.912126335015315370e-02,7.306788823191996685e-02,6.817721147257267689e-02
5.801493980716113663e-01,3.209928133640678749e-01,2.263154377663027517e-01,1.780169432709630961e-01,1.489063003174773969e-01,1.295411786431032164e-01,1.157618370443280753e-01,1.054413599418380226e-01,9.738347087459556239e-02,9.087124070520437302e-02
6.990654324570778622e-01,3.973069367343511349e-01,2.816613506331329675e-01,2.219792787720883398e-01,1.858441479854682499e-01,1.617522408768015674e-01,1.445874891072109203e-01,1.317208701758172673e-01,1.216693899640055587e-01,1.135426846833862552e-01
8.043686572573258697e-01,4.711747338981714939e-01,3.362160845317305191e-01,2.655916437009548381e-01,2.225959671295236753e-01,1.938518216114414050e-01,1.733404150858221526e-01,1.579498039909636997e-01,1.459183204528694544e-01,1.361859532843582576e-01
8.961307336936221724e-01,5.422602054128351501e-01,3.898445734092603199e-01,3.087899701342163850e-01,2.591266117977867323e-01,2.258184968981990226e-01,2.020064933269075658e-01,1.841182734434949897e-01,1.701229965019591950e-01,1.587954929412943583e-01
9.750799522870468028e-01,6.102955597802950383e-01,4.424232755372535797e-01,3.515132531228872814e-01,2.954020191824186514e-01,2.576313056164831194e-01,2.305718279887812860e-01,2.102165121032732453e-01,1.942762228457965423e-01,1.813657937148540067e-01
1.042362180211549250e+00,6.750820524425018565e-01,4.938412553754525369e-01,3.937039314970782189e-01,3.313893600052411070e-01,2.892698174593822946e-01,2.590227833296914750e-01,2.362348939050115670e-01,2.183708859047215067e-01,2.038913962366634136e-01
1.099333346110736187e+00,7.364879396298613656e-01,5.440009546262970508e-01,4.353082157732678370e-01,3.670571760677824869e-01,3.207141969295654316e-01,2.873460165168373881e-01,2.621639513745998573e-01,2.423999646051790691e-01,2.263668985050802940e-01
1.147401926412330964e+00,7.944440778122964231e-01,5.928186536005232155e-01,4.762763600744905901e-01,4.023755038426748976e-01,3.519452629325454662e-01,3.155285087882748751e-01,2.879943931556066539e-01,2.663565408718906458e-01,2.487869625143514229e-01
1.187922900023691275e+00,8.489377787114851248e-01,6.402246352250642314e-01,5.165628763546820101e-01,4.373159832247384138e-01,3.829445436101757694e-01,3.435575948159825255e-01,3.137171207663846384e-01,2.902338097576169229e-01,2.711463206991268082e-01
1.222135387942511642e+00,9.000055379331884930e-01,6.861630735093873223e-01,5.561266905615678269e-01,4.718519508079323521e-01,4.136943261163425478e-01,3.714209901355219334e-01,3.393232445240251804e-01,3.140250891784259202e-01,2.934397821772138926e-01
1.251133005717115276e+00,9.477252075810853604e-01,7.305916757059459643e-01,5.949312416338626841e-01,5.059585173025873406e-01,4.441777010979183204e-01,3.991068165258562228e-01,3.648040985776147549e-01,3.377238292247826679e-01,3.156622387744797420e-01
1.275856362763074126e+00,9.922080983869917548e-01,7.734811126042575591e-01,6.329445253711678543e-01,5.396126289501272932e-01,4.743786017060776516e-01,4.266036252416715580e-01,3.901512549997800949e-01,3.613236210212953936e-01,3.378086708168692720e-01
1.297099131645301551e+00,1.033591393182156981e+00,8.148142744089844625e-01,6.701390862101402890e-01,5.727931130246108893e-01,5.042818370249380067e-01,4.539004180197290239e-01,4.153565368922749745e-01,3.848182051106255885e-01,3.598741526756598086e-01
1.315521438475475424e+00,1.072031146232315768e+00,8.545853906353331197e-01,7.064919607687227820e-01,6.054807077272418292e-01,5.338731198652164611e-01,4.809866658001382689e-01,4.404120304683129539e-01,4.082014793398091590e-01,3.818538580532543913e-01
1.331666387052458322e+00,1.107696043194159374e+00,8.927990516792643216e-01,7.419845776703566376e-01,6.376580769776275526e-01,5.631390889291831847e-01,5.078523251226886304e-01,4.653100960813870146e-01,4.314675062300822872e-01,4.037430649980507935e-01
